Tamanho,Tempo_Real,O(n),O(log_n),O(n_log_n),O(n^2),O(n^3)
100,8248,10700,710.893,71089.3,1.07e+06,1.07e+08
300,24556,32100,880.484,264145,9.63e+06,2.889e+09
500,43466,53500,959.339,479669,2.675e+07,1.3375e+10
700,64973,74900,1011.28,707896,5.243e+07,3.6701e+10
900,112915,96300,1050.07,945067,8.667e+07,7.8003e+10
1100,112287,117700,1081.05,1.18916e+06,1.2947e+08,1.42417e+11
1300,138654,139100,1106.84,1.43889e+06,1.8083e+08,2.35079e+11
1500,157751,160500,1128.93,1.69339e+06,2.4075e+08,3.61125e+11
1700,179274,181900,1148.25,1.95203e+06,3.0923e+08,5.25691e+11
1900,204754,203300,1165.42,2.2143e+06,3.8627e+08,7.33913e+11
